Disease,Medication
Sialolithiasis,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Fat Embolism,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pituitary Disorder,Hormone replacement therapy; Thyroid medications (Levothyroxine); Corticosteroids (Hydrocortisone); Insulin and glucose-regulating drugs
Drug Abuse (Barbiturates),Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pleomorphic adenoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hypercalcemia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Hydrocephalus,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Corneal Disorder,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Indigestion,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pinworm Infection,"Antibiotics (Amoxicillin, Azithromycin); Antivirals (Acyclovir, Oseltamivir); Antifungals (Fluconazole, Clotrimazole); Supportive medications for symptoms"
Leukemia,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Pilonidal Cyst,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Polymyalgia Rheumatica,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Angle-Closure Glaucoma,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
Abdominal Injury,Over-the-counter pain relievers as needed; Prescription medications as directed; Vitamins and supplements if recommended; Topical treatments for local symptoms
